"bifparone"	"time.min"	"time.max"	"resource.min"	"resource.max"	"juv_bio.min"	"juv_bio.max"	"ad_bio.min"	"ad_bio.max"	"total_bio.min"	"total_bio.max"	"juv_number.min"	"juv_number.max"	"ad_number.min"	"ad_number.max"	"total_number.min"	"total_number.max"	"ingestion.min"	"ingestion.max"	"birthrate.min"	"birthrate.max"	"rep_rate.min"	"rep_rate.max"	"mat_rate.min"	"mat_rate.max"	"age_mat.min"	"age_mat.max"	"juv_surv.min"	"juv_surv.max"	"max_size.min"	"max_size.max"	"max_age.min"	"max_age.max"	"period1.min"	"period1.max"	"period2.min"	"period2.max"
0.4	10000	10000	0.4595202913	11.9459605895	0.062774871	10.662850941	0.0378476321	21.258550588	2.2413432858	22.2394151567	0.3132670576	31.2319974494	0.0037946376	10.3083721426	7.6741802396	31.5946600344	1.7897704242	3.5863177019	0.0391699387	8.5505039489	0.0039169939	0.8550503949	0	0.1392780445	50.4999516438	577.4999573724	3.39961e-07	0.468832343	9.9600617426	9.9848106609	658.4905171195	1023.4988460939	524.7204126831	524.7204126831	428.0035	428.0035
0.41	20000	20000	0.4625010178	10.7062767197	0.1064402567	10.5737741238	0.0407449621	21.136494576	2.4548163411	22.1128496301	0.3645378076	31.9338613997	0.0040855894	10.4481028066	7.6707716596	32.2825109121	1.9157094857	3.3408410841	0.040752089	8.4468246731	0.0040752089	0.8446824673	0	0.1456870518	55.4999402001	577.4999551008	4.174626e-07	0.4349561476	9.9604514861	9.984474138	665.4904932947	1029.498866287	521.9642753738	521.9642753738	426.3956666667	426.3956666667
0.42	30000	30000	0.4663009152	9.6782560209	0.1286938171	10.7424429767	0.0425811492	20.968146582	2.6489093373	21.9543194546	0.3732538402	32.654052935	0.0042701482	10.5835694309	7.673292803	32.9886078714	2.0201374205	3.1604557735	0.0421134291	8.3412734682	0.0042113429	0.8341273468	0	0.1461343346	59.499948737	579.4999526605	2.339145e-06	0.4096227739	9.9605653718	9.9841600869	671.4904525923	1034.4989086264	519.5200231957	519.5200231957	426.9193333333	426.9193333333
0.43	40000	40000	0.4695753104	8.8123950307	0.0425016154	10.9017545731	0.0442078614	20.8399552559	2.8284822159	21.8196661682	0.2625215683	33.3936219742	0.0044337202	10.625141234	7.654247327	33.7139420444	2.1080476238	3.0296514202	0.0432958558	8.2348207084	0.0043295856	0.8234820708	0	0.1515083728	63.4999386427	581.499950385	2.572537e-07	0.3857708643	9.9602386025	9.9838262298	676.4903819992	1038.4989779418	517.7801457092	517.7801457092	427.6701666667	427.6701666667
0.44	50000	50000	0.4738855343	8.0736204681	0.1237065596	10.8227888864	0.0465709133	20.6510229421	2.9973226841	21.6444030757	0.3689529646	34.1531754066	0.0046711935	10.741279037	7.6625743505	34.4591759513	2.183088774	2.9533654805	0.0444321667	8.1266653113	0.0044432167	0.8126665311	0	0.1537835952	66.4999419504	581.4999485606	2.035149e-06	0.3687895569	9.9602853041	9.9835033583	681.490447069	1042.4989468956	515.6382612511	515.6382612511	428.9645	428.9645
0.45	60000	60000	0.4773842666	7.4355287651	0.0689886334	10.9124810126	0.0482319341	20.5172582375	3.1578534164	21.5054904687	0.3253895914	34.9338714654	0.0048382769	10.6437614712	7.6405306544	35.2252593022	2.247862777	2.953000903	0.0455195975	8.0175599423	0.0045519598	0.8017559942	0	0.1549364087	70.4999267904	583.4999437167	2.295481e-07	0.3473176947	9.9600359819	9.9831690613	686.4904542171	1046.4988178829	514.1268966244	514.1268966244	430.8568333333	430.8568333333
0.46	70000	70000	0.4816041664	6.8801587795	0.049782653	11.0202718974	0.049749256	20.3488707101	3.3122463564	21.3392571982	0.2986785746	35.7363209561	0.0049909796	10.6547775822	7.6322822687	36.0132128674	2.3042729718	2.9525613469	0.0465303789	7.907012397	0.0046530379	0.7907012397	0	0.1555412854	73.4999277756	584.4999433592	0.0001557107	0.3320362965	9.9596244156	9.982808227	690.490486132	1049.4988721396	512.6245589128	512.6245589128	432.9411666667	432.9411666667
0.47	80000	80000	0.4865277024	6.3917209741	0.0421089286	10.9740556944	0.0519125243	20.1570351936	3.4620007925	21.149649696	0.2888913005	36.561854672	0.0052085502	10.7902561914	7.6309035564	36.8238541339	2.3538164773	2.9520624813	0.0475327657	7.7920734111	0.0047532766	0.7792073411	0	0.1579542327	75.4999279901	584.4999422066	0.0001557109	0.3221998447	9.9592378807	9.9824521525	695.4904410528	1052.4988342311	511.124480155	511.124480155	435.9566666667	435.9566666667
0.48	90000	90000	0.4901074859	5.9589220586	0.036432252	11.110364769	0.0532318453	20.0161336351	3.6083729135	21.0146100503	0.2827151228	37.4113262874	0.0053414719	10.8973519129	7.6157356326	37.6584632739	2.3977276688	2.9516904903	0.0484742171	7.6823779512	0.0048474217	0.7682377951	0	0.1597500243	77.4999275312	584.499941173	2.219066e-07	0.3126952612	9.9589082505	9.9821309513	699.4905089359	1054.4989937475	509.2953381774	509.2953381774	438.7843333333	438.7843333333
0.49	1e+05	1e+05	0.49458056	5.5730172343	0.0383073192	11.098861762	0.0552584342	19.8460242701	3.7522653365	20.848046767	0.2972255397	38.2861306591	0.0055454358	10.8179014873	7.6073417548	38.5181081396	2.436868813	2.9512320334	0.0494431767	7.5680974174	0.0049443177	0.7568097417	0	0.1597807405	80.4999212298	585.4999374712	4.601676e-05	0.2989254226	9.9584223176	9.9817412114	703.4905638472	1057.4989159026	507.7111505406	507.7111505406	442.0465	442.0465
0.5	110000	110000	0.5000443992	5.2268719836	0.0385628631	11.1000686255	0.0572583116	19.6449918583	3.8944728665	20.6481564214	0.3082853278	39.1874077084	0.0057467832	10.8794962141	7.6086454882	39.4040348256	2.4719656763	2.9506806386	0.0503733634	7.4504310177	0.0050373363	0.7450431018	0	0.160702857	82.4999227312	585.4999366891	2.576009e-05	0.2900932882	9.9579537833	9.9813396628	707.4905927904	1059.4989725116	506.1542216607	506.1542216607	445.567	445.567
0.51	120000	120000	0.5037823696	4.9147165085	0.0410870834	11.1830206001	0.0588202954	19.5042425354	4.0356002116	20.5144428788	0.3348687558	40.1165918122	0.0059042316	10.9242268011	7.5939084172	40.317701653	2.50361022	2.9502914367	0.0513457426	7.3360388257	0.0051345743	0.7336038826	0	0.1615086599	84.4999226745	585.4999350471	1.757401e-07	0.2815305436	9.9573142135	9.9809326601	711.490646781	1062.4988132638	504.4171359601	504.4171359601	449.0693333333	449.0693333333
