"bifparone"	"time.min"	"time.max"	"resource.min"	"resource.max"	"juv_bio.min"	"juv_bio.max"	"ad_bio.min"	"ad_bio.max"	"total_bio.min"	"total_bio.max"	"juv_number.min"	"juv_number.max"	"ad_number.min"	"ad_number.max"	"total_number.min"	"total_number.max"	"ingestion.min"	"ingestion.max"	"birthrate.min"	"birthrate.max"	"rep_rate.min"	"rep_rate.max"	"mat_rate.min"	"mat_rate.max"	"age_mat.min"	"age_mat.max"	"juv_surv.min"	"juv_surv.max"	"max_size.min"	"max_size.max"	"max_age.min"	"max_age.max"	"period1.min"	"period1.max"	"period2.min"	"period2.max"
0.4	10000	10000	2.205802078	2.205802078	0.313108008	0.313108008	11.7699968066	11.7699968066	12.0831048146	12.0831048146	0.5803447092	0.5803447092	4.0151975173	4.0151975173	4.5955422265	4.5955422265	2.7794105138	2.7794105138	0.068941774	0.068941774	0.0068941774	0.0068941774	0	0.0597786032	9.4987817071	9.4987817071	0.867195272	0.867195272	3.4947411428	3.4947411428	896.4987817072	896.4987817074	0	0	896	896
0.41	20000	20000	2.1650423891	2.1650423891	0.3065138951	0.3065138951	11.7943986223	11.7943986223	12.1009125174	12.1009125174	0.5831317207	0.5831317207	4.0344799578	4.0344799578	4.6176116784	4.6176116784	2.7834870351	2.7834870351	0.0692680604	0.0692680604	0.006926806	0.006926806	0	0.0600656803	9.4987671482	9.4987671483	0.8671954614	0.8671954614	3.5049546524	3.5049546524	897.4987671486	897.4987671493	0	0	897	897
0.42	30000	30000	2.1253644054	2.1253651381	0.2999668638	0.2999685785	11.8182760897	11.8182778087	12.1182445649	12.1182448974	0.5859688179	0.5859721232	4.0541206338	4.0541231457	4.6400911579	4.6400940347	2.7874551812	2.7874554335	0.0696016073	0.0696018267	0.0069601607	0.0069601827	0	0.0603585054	9.4987518696	9.49875715	0.8671955914	0.8671956599	3.5155876392	3.5155878631	897.4987518704	897.4987571508	0	0	897	897
0.43	40000	40000	2.0867346258	2.0867346258	0.2934762398	0.2934762398	11.8416405801	11.8416405801	12.1351168199	12.1351168199	0.5888643804	0.5888643805	4.0741421889	4.0741421889	4.6630065693	4.6630065693	2.7913187497	2.7913187497	0.0699448185	0.0699448185	0.0069944818	0.0069944818	0	0.0606561748	9.4987514564	9.4987514565	0.8671956654	0.8671956654	3.5266741309	3.5266741309	897.4987514577	897.4987514582	0	0	897	897
0.44	50000	50000	2.049140037	2.049140037	0.3477860166	0.3477860166	11.8037482139	11.8037482139	12.1515342305	12.1515342305	0.6527679437	0.6527679437	4.0335522213	4.0335522214	4.686320165	4.686320165	2.7950783639	2.7950783639	0.0703021218	0.0703021218	0.0070302122	0.0070302122	0	0.0600518679	10.4987760803	10.4987760804	0.8542844885	0.8542844885	3.538290143	3.538290143	898.4987760814	898.4987760824	0	0	898	898
0.45	60000	60000	2.0124252351	2.0124252351	0.3400932918	0.3400932918	11.8274715086	11.8274715087	12.1675648004	12.1675648004	0.6561204909	0.6561204909	4.0542681226	4.0542681226	4.7103886134	4.7103886134	2.7987503436	2.7987503436	0.0706587841	0.0706587841	0.0070658784	0.0070658784	0	0.060360288	10.4987629987	10.4987629988	0.8542846561	0.8542846561	3.5502429362	3.5502429362	898.4987630002	898.4987630008	0	0	898	898
0.46	70000	70000	1.9766477283	1.9766477283	0.3324701535	0.3324701535	11.8507136475	11.8507136475	12.183183801	12.183183801	0.6595518347	0.6595518347	4.0754709204	4.0754709204	4.7350227551	4.7350227551	2.8023285384	2.8023285384	0.0710258032	0.0710258032	0.0071025803	0.0071025803	0	0.060675957	10.498754535	10.4987545353	0.8542847645	0.8542847645	3.5627253642	3.5627253643	898.4987545355	898.4987545372	0	0	898	898
0.47	80000	80000	1.941767467	1.941767467	0.3249244493	0.3249244493	11.8734844548	11.8734844548	12.1984089041	12.1984089041	0.6630709194	0.6630709194	4.0972159813	4.0972159813	4.7602869007	4.7602869007	2.805816959	2.805816959	0.0714040803	0.0714040803	0.007140408	0.007140408	0	0.0609996978	10.4987504926	10.4987504929	0.8542848162	0.8542848162	3.5757564147	3.5757564147	899.4987504946	899.4987504964	0	0	899	899
0.48	90000	90000	1.907750249	1.9077504388	0.3778520506	0.3778548231	11.8354002593	11.8354029922	12.2132549982	12.2132550948	0.7280172001	0.7280208412	4.0582188286	4.058221468	4.786236557	4.7862396699	2.8092187777	2.8092191172	0.0717944685	0.0717945769	0.0071794468	0.0071794577	0	0.0604196766	11.4987503642	11.4987651821	0.841565987	0.8415661739	3.5893648732	3.5893648768	899.4987503654	899.4987651844	0	0	899	899
0.49	1e+05	1e+05	1.8745589572	1.8745589572	0.3690763373	0.3690763373	11.8586623941	11.8586623941	12.2277387314	12.2277387314	0.7320816825	0.7320816825	4.0808726939	4.080872694	4.8129543764	4.8129543764	2.8125384565	2.8125384565	0.072195282	0.072195282	0.0072195282	0.0072195282	0	0.060756379	11.4987557612	11.4987557614	0.8415661058	0.8415661058	3.6035707063	3.6035707063	899.498755764	899.4987557651	0	0	899	899
0.5	110000	110000	1.8421620353	1.8421620353	0.3603980832	0.3603980832	11.8814756946	11.8814756946	12.2418737778	12.2418737778	0.7362723932	0.7362723933	4.1042332448	4.1042332449	4.8405056381	4.8405056381	2.8157785147	2.8157785147	0.0726074234	0.0726074234	0.0072607423	0.0072607423	0	0.0611041713	11.4987509253	11.4987509257	0.8415661668	0.8415661668	3.6184048585	3.6184048585	900.4987509291	900.4987509308	0	0	900	900
0.51	120000	120000	1.8105568639	1.8105568639	0.4125799219	0.4125799219	11.843081537	11.843081537	12.2556614589	12.2556614589	0.8020487974	0.8020487975	4.0668198155	4.0668198156	4.868868613	4.868868613	2.818939259	2.818939259	0.073036661	0.073036661	0.0073036661	0.0073036661	0	0.0605471585	12.4987632679	12.4987632682	0.8290367255	0.8290367255	3.6339701683	3.6339701683	900.4987632675	900.4987632687	0	0	900	900
0.52	130000	130000	1.7796717747	1.7796717747	0.402645733	0.402645733	11.8664874066	11.8664874066	12.2691331396	12.2691331396	0.8068929223	0.8068929224	4.0913821405	4.0913821405	4.8982750629	4.8982750629	2.8220281354	2.8220281354	0.073474894	0.073474894	0.0073474894	0.0073474894	0	0.0609128444	12.4987545682	12.4987545685	0.8290368337	0.8290368337	3.650198219	3.650198219	900.4987545709	900.4987545722	0	0	900	900
0.53	140000	140000	1.749518712	1.749518712	0.3928359833	0.3928359833	11.889447862	11.889447862	12.2822838453	12.2822838453	0.8118992294	0.8118992294	4.116766918	4.116766918	4.9286661474	4.9286661474	2.8250437624	2.8250437624	0.0739298682	0.0739298682	0.0073929868	0.0073929868	0	0.0612907737	12.4987505282	12.4987505288	0.8290368838	0.8290368839	3.667231854	3.667231854	901.4987505323	901.4987505358	0	0	901	901
0.54	150000	150000	1.7200751375	1.7200751375	0.4437070307	0.4437070308	11.851416404	11.8514164041	12.2951234348	12.2951234348	0.8787607367	0.8787607368	4.081349068	4.0813490681	4.9601098048	4.9601098048	2.8279883472	2.8279883472	0.0744038659	0.0744038659	0.0074403866	0.0074403866	0	0.0607634712	13.4987585658	13.4987585664	0.8166940342	0.8166940342	3.6851345784	3.6851345785	901.4987585672	901.4987585696	0	0	901	901
0.55	160000	160000	1.6912939721	1.6912939721	0.4326314949	0.4326314949	11.8750411206	11.8750411206	12.3076726155	12.3076726155	0.884550875	0.8845508751	4.1082411023	4.1082411023	4.9927919774	4.9927919774	2.8308667736	2.8308667736	0.0748920537	0.0748920537	0.0074892054	0.0074892054	0	0.0611638406	13.4987520576	13.4987520582	0.8166941139	0.8166941139	3.7038968492	3.7038968492	902.4987520632	902.4987520653	0	0	902	902
0.56	170000	170000	1.6631853564	1.6631853564	0.4831292475	0.4831292475	11.8367977782	11.8367977782	12.3199270257	12.3199270257	0.9521310928	0.9521310928	4.0745354097	4.0745354098	5.0266665025	5.0266665026	2.8336778348	2.8336778348	0.0754033749	0.0754033749	0.0075403375	0.0075403375	0	0.0606620289	14.4987612734	14.4987612739	0.8045350115	0.8045350115	3.7236833856	3.7236833863	902.4987612782	902.4987612805	0	0	902	902
0.57	180000	180000	1.635690888	1.635690888	0.4707710182	0.4707710182	11.8611412683	11.8611412684	12.3319122865	12.3319122865	0.9588244456	0.9588244456	4.1031789428	4.1031789429	5.0620033884	5.0620033884	2.8364275721	2.8364275721	0.075930669	0.075930669	0.0075930669	0.0075930669	0	0.0610884747	14.4987533469	14.4987533475	0.8045351071	0.8045351071	3.7444489775	3.7444489775	903.4987533525	903.498753355	0	0	903	903
0.58	190000	190000	1.6088191107	1.6088191107	0.4585964679	0.4585964679	11.8850282431	11.8850282432	12.343624711	12.343624711	0.9657907471	0.9657907471	4.1329904291	4.1329904292	5.0987811762	5.0987811762	2.8391149976	2.8391149976	0.0764816926	0.0764816926	0.0076481693	0.0076481693	0	0.0615323106	14.4987502454	14.4987502459	0.8045351445	0.8045351445	3.7663687394	3.7663687394	903.4987502508	903.4987502537	0	0	903	903
0.59	2e+05	2e+05	1.5825467255	1.5825467255	0.5068583017	0.5068583017	11.8482163538	11.8482163538	12.3550746555	12.3550746555	1.0350506357	1.0350506358	4.102083941	4.1020839411	5.1371345768	5.1371345768	2.8417424356	2.8417424356	0.0770578303	0.0770578303	0.007705783	0.007705783	0	0.0610721722	15.4987536758	15.4987536764	0.7925571359	0.7925571359	3.7895230225	3.7895230225	904.4987536815	904.4987536839	0	0	904	904
0.6	210000	210000	1.5568478678	1.5568478678	0.4934262687	0.4934262688	11.8728471024	11.8728471024	12.3662733712	12.3662733712	1.0431299607	1.0431299607	4.1341036974	4.1341036975	5.1772336582	5.1772336582	2.8443125453	2.8443125453	0.0776584793	0.0776584793	0.0077658479	0.0077658479	0	0.0615488851	15.4987502884	15.498750289	0.7925571761	0.7925571762	3.8139868688	3.8139868688	904.4987502943	904.4987502967	0	0	904	904
0.61	220000	220000	1.5317123697	1.5317123697	0.5405440683	0.5405440684	11.8366814277	11.8366814277	12.377225496	12.377225496	1.1136289801	1.1136289802	4.1055508492	4.1055508492	5.2191798294	5.2191798294	2.8468262762	2.8468262762	0.0782883607	0.0782883607	0.0078288361	0.0078288361	0	0.0611237878	16.4987529911	16.4987529917	0.7807575054	0.7807575054	3.8399031578	3.8399031578	905.4987529971	905.4987529992	0	0	905	905
0.62	230000	230000	1.5071172023	1.5071172023	0.5258677098	0.5258677099	11.8620733268	11.8620733269	12.3879410367	12.3879410367	1.1230144538	1.1230144539	4.1401517263	4.1401517264	5.2631661802	5.2631661802	2.8492859898	2.8492859898	0.0789475218	0.0789475218	0.0078947522	0.0078947522	0	0.0616389286	16.4987501868	16.4987501874	0.7807575382	0.7807575382	3.867375308	3.867375308	905.4987501921	905.4987501949	0	0	905	905
0.63	240000	240000	1.4830510469	1.4830510469	0.5715280172	0.5715280173	11.8268971034	11.8268971035	12.3984251207	12.3984251207	1.1950454589	1.1950454589	4.1142906351	4.1142906351	5.3093360941	5.3093360941	2.8516927707	2.8516927707	0.0796403457	0.0796403457	0.0079640346	0.0079640346	0	0.0612539065	17.4987516977	17.4987516983	0.7691335554	0.7691335554	3.8965679974	3.8965679975	906.4987517001	906.4987517033	0	0	906	906
0.64	250000	250000	1.4594982952	1.4594982952	0.616969741	0.616969741	11.791714777	11.791714777	12.408684518	12.408684518	1.2677858865	1.2677858865	4.0900942111	4.0900942112	5.3578800976	5.3578800976	2.8540481936	2.8540481936	0.080369686	0.080369686	0.0080369686	0.0080369686	0	0.0608936696	18.4987548313	18.4987548321	0.757682613	0.757682613	3.9276451677	3.9276451677	906.4987548329	906.4987548361	0	0	906	906
0.65	260000	260000	1.436436679	1.436436679	0.5995627954	0.5995627954	11.8191663085	11.8191663085	12.4187291039	12.4187291039	1.2798968966	1.2798968966	4.1291665031	4.1291665031	5.4090633997	5.4090633997	2.8563545261	2.8563545261	0.0811359753	0.0811359753	0.0081135975	0.0081135975	0	0.0614753797	18.4987504904	18.4987504911	0.7576826623	0.7576826623	3.9607531146	3.9607531146	907.4987504959	907.4987504993	0	0	907	907
0.66	270000	270000	1.4138608807	1.4138608807	0.6430230047	0.6430230048	11.7855382163	11.7855382164	12.4285612211	12.4285612211	1.3547624493	1.3547624494	4.1082967208	4.1082967209	5.4630591702	5.4630591702	2.8586122424	2.8586122424	0.0819463242	0.0819463242	0.0081946324	0.0081946324	0	0.0611646686	19.4987518395	19.4987518409	0.746402222	0.746402222	3.9961459457	3.9961459457	908.4987518513	908.4987518562	0	0	908	908
0.67	280000	280000	1.3917542374	1.3917542374	0.6858128167	0.6858128168	11.7523753188	11.7523753188	12.4381881355	12.4381881355	1.4307246171	1.4307246171	4.0894276142	4.0894276142	5.5201522313	5.5201522313	2.8608230319	2.8608230319	0.082803449	0.082803449	0.0082803449	0.0082803449	0	0.0608837452	20.4987536452	20.4987536465	0.7352897207	0.7352897207	4.0340476811	4.0340476811	908.4987536552	908.4987536617	0	0	908	908
0.68	290000	290000	1.3700995017	1.3700995017	0.6657283422	0.6657283422	11.7818891864	11.7818891865	12.4476175286	12.4476175286	1.4464108418	1.4464108419	4.1342635136	4.1342635136	5.5806743554	5.5806743554	2.8629886426	2.8629886426	0.0837101452	0.0837101452	0.0083710145	0.0083710145	0	0.0615512644	20.4987502118	20.4987502132	0.7352897585	0.7352897586	4.0747057021	4.0747057021	909.4987502231	909.4987502271	0	0	909	909
0.69	3e+05	3e+05	1.3488892325	1.3488892325	0.70612635	0.7061263501	11.7507263009	11.750726301	12.4568526509	12.4568526509	1.5253208569	1.525320857	4.1195949582	4.1195949583	5.6449158152	5.6449158153	2.8651097831	2.8651097832	0.0846738328	0.0846738328	0.0084673833	0.0084673833	0	0.0613328777	21.4987505858	21.4987505869	0.7243427162	0.7243427162	4.1184646565	4.1184646566	910.4987505866	910.4987505912	0	0	910	910
0.7	310000	310000	1.3281089401	1.3281089401	0.7454835452	0.7454835453	11.7204163209	11.720416321	12.4658998662	12.4658998662	1.6058676383	1.6058676384	4.1074065246	4.1074065247	5.713274163	5.713274163	2.8671879204	2.8671879204	0.0856992036	0.0856992036	0.0085699204	0.0085699204	0	0.0611514153	22.4987503368	22.4987503381	0.7135586607	0.7135586607	4.1656722442	4.1656722442	911.4987503349	911.4987503396	0	0	911	911
0.71	320000	320000	1.3077475088	1.3077475088	0.7836431419	0.783643142	11.6911209268	11.6911209269	12.4747640688	12.4747640688	1.6882890766	1.6882890767	4.0978826574	4.0978826575	5.7861717341	5.7861717341	2.8692241593	2.8692241593	0.0867929647	0.0867929647	0.0086792965	0.0086792965	0	0.0610096232	23.4987513407	23.4987513421	0.7029351457	0.7029351457	4.2167531602	4.2167531602	912.4987513517	912.4987513563	0	0	912	912
0.72	330000	330000	1.2877927661	1.2877927661	0.8204637311	0.8204637312	11.6629868181	11.6629868182	12.4834505493	12.4834505493	1.7728601002	1.7728601003	4.0912458993	4.0912458994	5.8641059997	5.8641059997	2.8712197244	2.8712197244	0.0879620433	0.0879620433	0.0087962043	0.0087962043	0	0.060910816	24.4987514365	24.4987514379	0.6924698038	0.6924698038	4.2721915954	4.2721915954	912.4987514485	912.4987514543	0	0	912	912
0.73	340000	340000	1.268234084	1.268234084	0.85581876	0.8558187601	11.6361453386	11.6361453387	12.4919640987	12.4919640987	1.8598907987	1.8598907988	4.0877425072	4.0877425073	5.947633306	5.947633306	2.8731756781	2.8731756781	0.0892149235	0.0892149235	0.0089214923	0.0089214923	0	0.0608586572	25.4987513007	25.4987513021	0.6821602729	0.6821602729	4.3325657798	4.3325657798	913.4987513111	913.4987513178	0	0	913	913
